player,position,rating,total_remates,xG,passes_certos,toques,toques_area_adv,dribles,duelos,match_id,home,away,score
Larrazabal G.,Médio ofensivo,8.3,1,0.31,8/17 (47%),46,3,0/2 (0%),5,IcJBYh6e,Casa Pia AC,Torreense,2-0
Kaly,Defesa-central,8.1,1,0.21,17/18 (94%),38,-,1/1 (100%),11,IcJBYh6e,Casa Pia AC,Torreense,2-0
Ofori L.,Médio,7.8,1,0.91,16/18 (89%),29,2,-,5,IcJBYh6e,Casa Pia AC,Torreense,2-0
Prieto K.,Ala,7.8,2,0.03,13/18 (72%),45,1,1/2 (50%),14,IcJBYh6e,Casa Pia AC,Torreense,2-0
Geraldes A.,Ala,7.6,-,-,23/28 (82%),56,-,2/3 (67%),7,IcJBYh6e,Casa Pia AC,Torreense,2-0
Sousa D.,Defesa-central,7.4,1,0.05,21/26 (81%),37,2,-,5,IcJBYh6e,Casa Pia AC,Torreense,2-0
Lucas Paes,Guarda-redes,7.3,-,-,21/24 (88%),43,-,-,-,IcJBYh6e,Casa Pia AC,Torreense,2-0
Osundina K.,Avançado,7.2,1,0.08,1/1 (100%),4,2,1/1 (100%),1,IcJBYh6e,Casa Pia AC,Torreense,2-0
Jean D.,Extremo,7.0,5,0.48,25/34 (74%),58,12,2/3 (67%),13,IcJBYh6e,Casa Pia AC,Torreense,2-0
Perez S.,Médio,7.0,-,-,23/29 (79%),42,1,0/1 (0%),10,IcJBYh6e,Casa Pia AC,Torreense,2-0
Vazquez J.,Lateral,7.0,4,0.13,22/40 (55%),79,2,0/1 (0%),6,IcJBYh6e,Casa Pia AC,Torreense,2-0
Cassiano,Avançado,6.9,1,0.28,5/7 (71%),17,2,0/1 (0%),6,IcJBYh6e,Casa Pia AC,Torreense,2-0
Guilherme Liberato,Médio,6.7,1,0.10,39/43 (91%),66,3,1/2 (50%),13,IcJBYh6e,Casa Pia AC,Torreense,2-0
Livramento D.,Avançado,6.7,4,0.46,5/11 (45%),23,6,1/2 (50%),14,IcJBYh6e,Casa Pia AC,Torreense,2-0
Sequeira P.,Guarda-redes,6.7,-,-,8/24 (33%),33,-,-,-,IcJBYh6e,Casa Pia AC,Torreense,2-0
Alfaro A.,Médio,6.6,4,0.11,27/30 (90%),43,2,-,2,IcJBYh6e,Casa Pia AC,Torreense,2-0
Danilo,Defesa,6.6,-,-,14/18 (78%),37,1,1/1 (100%),8,IcJBYh6e,Casa Pia AC,Torreense,2-0
Livolant J.,Médio ofensivo,6.6,1,0.11,12/20 (60%),33,4,1/2 (50%),8,IcJBYh6e,Casa Pia AC,Torreense,2-0
Mohamed I.,Médio,6.6,-,-,3/7 (43%),13,-,0/1 (0%),4,IcJBYh6e,Casa Pia AC,Torreense,2-0
Marques J.,Avançado,6.5,-,-,7/9 (78%),13,-,0/1 (0%),5,IcJBYh6e,Casa Pia AC,Torreense,2-0
Seydi I.,Avançado,6.5,-,-,6/8 (75%),19,2,1/2 (50%),2,IcJBYh6e,Casa Pia AC,Torreense,2-0
Goulart J.,Defesa-central,6.4,-,-,11/14 (79%),26,1,-,7,IcJBYh6e,Casa Pia AC,Torreense,2-0
David Bruno,Lateral,6.3,-,-,26/29 (90%),42,-,-,2,IcJBYh6e,Casa Pia AC,Torreense,2-0
Zohi K.,Avançado,6.3,-,-,9/13 (69%),15,1,-,2,IcJBYh6e,Casa Pia AC,Torreense,2-0
Costinha,Médio ofensivo,6.2,-,-,8/8 (100%),15,-,-,6,IcJBYh6e,Casa Pia AC,Torreense,2-0
Leo Silva,Médio,6.1,1,0.14,29/32 (91%),40,2,-,10,IcJBYh6e,Casa Pia AC,Torreense,2-0
Mohamed D.,Defesa-central,6.0,-,-,43/54 (80%),66,1,-,5,IcJBYh6e,Casa Pia AC,Torreense,2-0
Quintero L.,Extremo,6.0,1,0.02,13/15 (87%),31,2,0/2 (0%),7,IcJBYh6e,Casa Pia AC,Torreense,2-0
Stopira,Defesa-central,6.0,2,0.19,36/42 (86%),54,3,-,12,IcJBYh6e,Casa Pia AC,Torreense,2-0
Drammeh M.,Avançado,5.6,2,0.11,11/13 (85%),32,5,0/1 (0%),15,IcJBYh6e,Casa Pia AC,Torreense,2-0
Conte A.,Defesa,-,-,-,2/4 (50%),7,-,-,1,IcJBYh6e,Casa Pia AC,Torreense,2-0
Simoes A.,Médio,-,-,-,4/5 (80%),7,-,-,-,IcJBYh6e,Casa Pia AC,Torreense,2-0
Stopira,Defesa-central,7.7,1,0.01,37/42 (88%),58,1,1/1 (100%),15,ppL3zFyq,Torreense,Casa Pia AC,0-0
Vazquez J.,Lateral,7.7,1,0.06,38/42 (90%),70,1,-,3,ppL3zFyq,Torreense,Casa Pia AC,0-0
David Bruno,Lateral,7.6,-,-,33/40 (83%),64,2,-,2,ppL3zFyq,Torreense,Casa Pia AC,0-0
Larrazabal G.,Ala,7.5,1,0.04,18/25 (72%),42,2,0/1 (0%),11,ppL3zFyq,Torreense,Casa Pia AC,0-0
Kaly,Defesa-central,7.4,-,-,16/21 (76%),35,-,-,6,ppL3zFyq,Torreense,Casa Pia AC,0-0
Sequeira P.,Guarda-redes,7.2,-,-,18/30 (60%),34,-,-,-,ppL3zFyq,Torreense,Casa Pia AC,0-0
Leo Silva,Médio,7.1,2,0.11,41/50 (82%),71,2,-,13,ppL3zFyq,Torreense,Casa Pia AC,0-0
Mohamed I.,Médio,7.1,-,-,25/34 (74%),49,-,-,11,ppL3zFyq,Torreense,Casa Pia AC,0-0
Lucas Paes,Guarda-redes,7.0,-,-,19/30 (63%),48,-,-,2,ppL3zFyq,Torreense,Casa Pia AC,0-0
Sousa D.,Defesa-central,7.0,1,0.05,31/40 (78%),52,1,-,5,ppL3zFyq,Torreense,Casa Pia AC,0-0
Goulart J.,Defesa-central,6.9,-,-,28/35 (80%),52,-,-,7,ppL3zFyq,Torreense,Casa Pia AC,0-0
Quintero L.,Extremo,6.8,-,-,12/16 (75%),26,2,5/6 (83%),8,ppL3zFyq,Torreense,Casa Pia AC,0-0
Alfaro A.,Médio ofensivo,6.6,4,0.31,17/24 (71%),36,4,1/1 (100%),5,ppL3zFyq,Torreense,Casa Pia AC,0-0
Mohamed D.,Defesa-central,6.6,1,0.04,38/44 (86%),51,1,-,4,ppL3zFyq,Torreense,Casa Pia AC,0-0
